Win/Loss (Fighter1),Fighter1,Fighter2,Weight Class,Winning Method,Round,Time,Win Rate (Fighter 1),Total Fights (Fighter 1),Win (Fighter 1),Lose (Fighter 1),Draw (Fighter 1),SLpM (Fighter 1),Str. Acc. (Fighter 1),SApM (Fighter 1),Str. Def (Fighter 1),TD Avg. (Fighter 1),TD Acc. (Fighter 1),TD Def. (Fighter 1),Sub. Avg. (Fighter 1),Win Rate (Fighter 2),Total Fights (Fighter 2),Win (Fighter 2),Lose (Fighter 2),Draw (Fighter 2),SLpM (Fighter 2),Str. Acc. (Fighter 2),SApM (Fighter 2),Str. Def (Fighter 2),TD Avg. (Fighter 2),TD Acc. (Fighter 2),TD Def. (Fighter 2),Sub. Avg. (Fighter 2)
Win,Jarno Errens,Steven Nguyen,Featherweight,U-DEC,3,am,0.7,20,14,5,1,3.44,0.46,3.36,0.63,0,0,0.28,0.3,0.82,11,9,2,0,7.15,0.4,7.36,0.6,0.28,1,0.84,0
Win,Daria Zhelezniakova,Montserrat Rendon,Women's Bantamweight,U-DEC,3,am,0.9,10,9,1,0,3.8,0.38,1.67,0.82,0,0,0.5,0,0.86,7,6,1,0,3.13,0.28,3.9,0.54,3,0.54,1,0
Win,Andre Lima,Igor Severino,Flyweight,DQ,2,am,1,8,8,0,0,3.98,0.6,2.67,0.6,1.31,0.66,0.61,1.3,0.89,9,8,1,0,7.17,0.52,4.33,0.47,9.69,0.71,0.5,0
Win,Mick Parkin,Mohammed Usman,Heavyweight,U-DEC,3,am,1,9,9,0,0,4.54,0.51,3.94,0.59,1.6,0.41,0.5,0.3,0.79,14,11,3,0,3.18,0.37,4.21,0.52,0.89,0.18,0,0
Win,Marcin Tybura,Tai Tuivasa,Heavyweight,SUB Rear Naked Choke,1,am,0.76,33,25,8,0,3.6,0.48,3.35,0.55,1.43,0.33,0.79,0.1,0.68,22,15,7,0,3.96,0.49,5.05,0.43,0,0,0.57,0
Win,Ovince Saint Preux,Kennedy Nzechukwu,Light Heavyweight,S-DEC,3,am,0.61,44,27,17,0,3.03,0.47,3.32,0.47,1.1,0.36,0.67,0.5,0.71,17,12,5,0,5.13,0.45,4.9,0.5,0.6,0.45,0.8,0.2
Win,Christian Rodriguez,Isaac Dulgarian,Featherweight,S-DEC,3,am,0.92,12,11,1,0,3.45,0.48,2.28,0.57,1.14,0.54,0.66,1.1,0.86,7,6,1,0,2.88,0.58,2.53,0.39,6.06,0.47,0,1.5
Win,Macy Chiasson,Pannie Kianzad,Women's Bantamweight,SUB Rear Naked Choke,1,am,0.77,13,10,3,0,3.53,0.44,2.53,0.46,2.38,0.37,0.62,0.5,0.68,25,17,8,0,4.74,0.49,3.67,0.53,0.46,0.33,0.66,0.1
Win,Gerald Meerschaert,Bryan Barberena,Middleweight,SUB Rear Naked Choke,2,am,0.68,53,36,17,0,3.18,0.45,3.37,0.53,2.17,0.38,0.34,1.6,0.6,30,18,12,0,5.35,0.48,4.59,0.44,0.13,0.22,0.5,0.3
Win,Mike Davis,Natan Levy,Lightweight,SUB Arm Triangle,2,am,1,2,2,0,0,0,0,0,0,0,0,0,0,0.8,10,8,2,0,3.7,0.52,3.19,0.58,5.03,0.58,0.41,0.5
Win,Chelsea Chandler,Josiane Nunes,Women's Bantamweight,U-DEC,3,am,0.75,8,6,2,0,3.45,0.45,3.09,0.49,1.31,0.6,0.33,0,0.83,12,10,2,0,5.99,0.44,5.25,0.53,0,0,0.58,0
Win,Jafel Filho,Ode Osbourne,Flyweight,SUB Rear Naked Choke,1,am,0.84,19,16,3,0,2.36,0.41,2,0.47,1.77,0.33,0.55,2.6,0.63,19,12,7,0,3.46,0.38,4.44,0.44,1.27,0.27,0.64,0.2
Win,Danny Silva,Josh Culibao,Featherweight,S-DEC,3,am,0.9,10,9,1,0,8.3,0.58,9.47,0.59,3,0.5,1,0.5,0.73,15,11,3,1,3.2,0.42,3.24,0.56,0,0,0.67,0.3
Win,Jaqueline Amorim,Cory McKenna,Women's Strawweight,SUB Armbar,1,am,0.89,9,8,1,0,3.33,0.52,1.85,0.62,1.48,0.23,0,5.4,0.73,11,8,3,0,3,0.4,3.19,0.48,2.22,0.58,0.71,0.4
