Win/Loss (Fighter1),Fighter1,Fighter2,Weight Class,Winning Method,Round,Time,Win Rate (Fighter 1),Total Fights (Fighter 1),Win (Fighter 1),Lose (Fighter 1),Draw (Fighter 1),SLpM (Fighter 1),Str. Acc. (Fighter 1),SApM (Fighter 1),Str. Def (Fighter 1),TD Avg. (Fighter 1),TD Acc. (Fighter 1),TD Def. (Fighter 1),Sub. Avg. (Fighter 1),Win Rate (Fighter 2),Total Fights (Fighter 2),Win (Fighter 2),Lose (Fighter 2),Draw (Fighter 2),SLpM (Fighter 2),Str. Acc. (Fighter 2),SApM (Fighter 2),Str. Def (Fighter 2),TD Avg. (Fighter 2),TD Acc. (Fighter 2),TD Def. (Fighter 2),Sub. Avg. (Fighter 2)
Lose,Marc Diakiese,Rafael Fiziev,Lightweight,U-DEC,3,am,0.71,24,17,7,0,2.54,0.4,2.64,0.52,3.29,0.43,0.66,0,0.8,15,12,3,0,4.9,0.51,4.97,0.49,0.29,0.4,0.89,0
Lose,Luana Carolina,Ariane Lipski,Women's Flyweight,SUB Kneebar,1,am,0.71,14,10,4,0,4.63,0.49,3.63,0.49,0.38,0.42,0.76,0.6,0.68,25,17,8,0,4.27,0.4,4.23,0.52,0.64,0.55,0.79,0.4
Lose,Alexandre Pantoja,Askar Askarov,Flyweight,U-DEC,3,am,0.84,32,27,5,0,4.32,0.49,3.9,0.5,2.2,0.48,0.67,1,0.88,16,14,1,1,3.05,0.54,2.8,0.57,2.6,0.24,0.66,0.4
Lose,Khadis Ibragimov,Roman Dolidze,Light Heavyweight,KO/TKO Knee,1,am,0.67,12,8,4,0,3.55,0.49,4.26,0.47,0.97,0.3,0.8,0.3,0.8,15,12,3,0,2.62,0.39,3.36,0.51,1.3,0.4,0.33,1.3
Lose,Nad Narimani,Grant Dawson,Catch Weight,U-DEC,3,am,0.75,16,12,4,0,3.33,0.42,3,0.58,1.92,0.41,0.7,0,0.87,23,20,2,1,2.97,0.51,2.27,0.45,3.68,0.36,0.4,1.5
Lose,Joe Duffy,Joel Alvarez,Lightweight,SUB Guillotine Choke,1,am,0.76,21,16,5,0,2.68,0.34,3.78,0.54,0.96,0.66,0.64,0.7,0.87,23,20,3,0,3.65,0.46,3.37,0.5,0,0,0.11,1.3
Lose,Montel Jackson,Brett Johns,Bantamweight,U-DEC,3,am,0.87,15,13,2,0,3.36,0.53,1.41,0.64,3.42,0.71,0.69,0.3,0.89,19,17,2,0,2.86,0.49,3.84,0.53,4.92,0.49,0.58,1
Lose,Malcolm Gordon,Amir Albazi,Bantamweight,SUB Triangle Choke,1,am,0.64,22,14,8,0,2.5,0.45,2,0.43,1.72,0.35,0.26,1,0.94,18,17,1,0,2.8,0.39,3.07,0.63,1.71,0.33,0.4,0.7
Lose,Davi Ramos,Arman Tsarukyan,Lightweight,U-DEC,3,am,0.71,14,10,4,0,2.64,0.37,3.44,0.56,1.95,0.4,0.83,0.6,0.88,25,22,3,0,3.79,0.48,1.84,0.53,3.25,0.37,0.75,0
Lose,Carlos Felipe,Serghei Spivac,Heavyweight,M-DEC,3,am,0.85,13,11,2,0,4.88,0.45,5.6,0.5,0,0,0.72,0,0.8,20,16,4,0,3.54,0.49,3.79,0.49,4.56,0.64,0.7,0.5
Lose,Dan Ige,Calvin Kattar,Featherweight,U-DEC,5,am,0.72,25,18,7,0,3.76,0.45,3.52,0.57,1.06,0.26,0.58,0.3,0.74,31,23,8,0,4.76,0.39,6.75,0.54,0.39,0.29,0.72,0.1
Lose,Ryan Benoit,Tim Elliott,Flyweight,U-DEC,3,am,0.56,18,10,8,0,2.88,0.39,3.65,0.58,0.28,0.22,0.72,0.4,0.6,35,21,13,1,3.39,0.44,2.66,0.56,3.73,0.47,0.59,1
Lose,Cody Stamann,Jimmie Rivera,Featherweight,U-DEC,3,am,0.75,28,21,6,1,4.39,0.47,3.63,0.62,2.34,0.39,0.76,0,0.82,28,23,5,0,4.03,0.4,3.9,0.6,0.88,0.27,0.92,0.1
Lose,Molly McCann,Taila Santos,Women's Flyweight,U-DEC,3,am,0.7,20,14,6,0,5.79,0.49,4.94,0.63,1.82,0.38,0.43,0.6,0.86,22,19,3,0,3.39,0.48,2.64,0.58,2,0.76,0.86,1.1
Lose,Abdul Razak Alhassan,Mounir Lazzez,Welterweight,U-DEC,3,am,0.67,18,12,6,0,3.37,0.48,3.99,0.55,0.89,0.38,0.5,0.2,0.79,14,11,3,0,7.49,0.55,5.42,0.53,1.8,0.57,0.71,0
Lose,John Phillips,Khamzat Chimaev,Middleweight,SUB D'Arce Choke,2,am,0.67,33,22,11,0,1.72,0.34,4.03,0.49,0,0,0.07,0,1,13,13,0,0,5.72,0.58,3.46,0.42,3.99,0.46,1,2.7
Lose,Ricardo Ramos,Lerone Murphy,Featherweight,KO/TKO Punches,1,am,0.73,22,16,6,0,3.21,0.37,3.74,0.57,3.02,0.6,0.72,0.7,0.93,14,13,0,1,3.65,0.5,2.4,0.56,1.29,0.46,0.46,0.9
Lose,Andreas Michailidis,Modestas Bukauskas,Light Heavyweight,KO/TKO,1,am,0.68,19,13,6,0,2.9,0.51,3.57,0.44,1.12,0.27,0.5,0,0.71,21,15,6,0,3.28,0.41,3.87,0.5,0,0,0.71,0
Lose,Chris Fishgold,Jared Gordon,Featherweight,U-DEC,3,am,0.78,23,18,4,1,2.01,0.32,2.7,0.46,2.59,0.46,0.44,1.3,0.77,26,20,6,0,5.39,0.57,3.4,0.57,1.95,0.4,0.62,0
Lose,Diana Belbita,Liana Jojua,Women's Flyweight,SUB Armbar,1,am,0.63,24,15,9,0,6.54,0.42,6.55,0.51,0.91,0.62,0.65,0,0.62,13,8,5,0,2.42,0.3,5.32,0.54,1.71,0.66,0.5,1.3
Lose,Aaron Phillips,Jack Shore,Bantamweight,SUB Rear Naked Choke,2,am,0.71,17,12,5,0,1.51,0.53,3.66,0.43,0.86,0.5,0.44,0.6,0.94,18,17,1,0,3.84,0.58,2.2,0.57,3.42,0.4,0.79,0.7
Lose,Jorge Masvidal,Kamaru Usman,Welterweight,U-DEC,5,am,0.67,52,35,17,0,4.05,0.47,3.05,0.64,1.38,0.59,0.72,0.3,0.83,24,20,4,0,4.36,0.52,2.74,0.54,2.82,0.45,0.89,0.1
Lose,Max Holloway,Alexander Volkanovski,Featherweight,S-DEC,5,am,0.79,33,26,7,0,7.17,0.48,4.72,0.59,0.25,0.53,0.84,0.3,0.87,30,26,4,0,6.16,0.56,3.44,0.58,1.78,0.37,0.7,0.2
Lose,Jose Aldo,Petr Yan,Bantamweight,KO/TKO Punches,5,am,0.79,39,31,8,0,3.57,0.46,3.74,0.6,0.49,0.54,0.91,0.1,0.77,22,17,5,0,5.14,0.53,4.36,0.58,1.73,0.51,0.85,0.1
Lose,Jessica Andrade,Rose Namajunas,Women's Strawweight,S-DEC,3,am,0.68,38,26,12,0,6.62,0.5,5.37,0.55,2.37,0.55,0.72,0.3,0.68,19,13,6,0,3.69,0.41,3.51,0.63,1.38,0.47,0.59,0.5
Lose,Paige VanZant,Amanda Ribas,Women's Flyweight,SUB Armbar,1,am,0.62,13,8,5,0,3.35,0.52,2.62,0.42,1.27,0.33,0.34,1,0.71,17,12,5,0,4.63,0.4,3.4,0.61,2.07,0.51,0.85,0.7
Lose,Volkan Oezdemir,Jiri Prochazka,Light Heavyweight,KO/TKO Punch,2,am,0.73,26,19,7,0,4.59,0.47,3.92,0.55,0.57,0.33,0.8,0.1,0.86,35,30,4,1,5.75,0.56,5.43,0.41,0.79,0.6,0.68,0.3
Lose,Elizeu Zaleski dos Santos,Muslim Salikhov,Welterweight,S-DEC,3,am,0.75,32,24,7,1,4.52,0.42,3.33,0.57,0.43,0.13,0.68,0.4,0.79,24,19,5,0,3.36,0.51,2.94,0.62,1.27,0.4,0.73,0
Lose,Danny Henry,Makwan Amirkhani,Featherweight,SUB Anaconda Choke,1,am,0.75,16,12,4,0,5.2,0.51,4.16,0.45,0.74,0.33,0.5,2.2,0.65,26,17,9,0,1.33,0.44,2.98,0.46,3.96,0.43,0.35,1.1
Lose,Roman Bogatov,Leonardo Santos,Lightweight,U-DEC,3,am,0.91,11,10,1,0,3.33,0.42,4.4,0.44,1,0.09,0.5,0,0.69,26,18,7,1,2.82,0.46,3.4,0.54,0.88,0.25,0.86,0.2
Lose,Maxim Grishin,Marcin Tybura,Heavyweight,U-DEC,3,am,0.73,44,32,10,2,3.26,0.52,2.27,0.58,0.21,0.16,0.66,0,0.76,33,25,8,0,3.6,0.48,3.35,0.55,1.43,0.33,0.79,0.1
Lose,Zhalgas Zhumagulov,Raulian Paiva,Flyweight,U-DEC,3,am,0.61,23,14,9,0,5.24,0.43,5.86,0.52,1.3,0.19,0.75,0.2,0.81,26,21,5,0,4.14,0.42,5.01,0.48,0.65,0.23,0.77,0.2
Lose,Vanessa Melo,Karol Rosa,Women's Bantamweight,U-DEC,3,am,0.58,19,11,8,0,3.48,0.3,6.13,0.59,0,0,0.71,0,0.74,23,17,6,0,6.34,0.56,4.78,0.49,1.22,0.45,0.68,0
Lose,Martin Day,Davey Grant,Bantamweight,KO/TKO Punch,3,am,0.57,14,8,6,0,3.97,0.45,3.79,0.53,0.72,0.6,0.65,0.5,0.68,22,15,7,0,4.77,0.42,3.82,0.55,1.26,0.41,0.61,0.2
Lose,Dan Hooker,Dustin Poirier,Lightweight,U-DEC,5,am,0.66,35,23,12,0,5.08,0.48,4.76,0.51,0.79,0.34,0.8,0.4,0.79,38,30,8,0,5.45,0.51,4.36,0.53,1.33,0.36,0.63,1.4
Lose,Mickey Gall,Mike Perry,Welterweight,U-DEC,3,am,0.58,12,7,5,0,2.94,0.46,4.25,0.49,1.21,0.3,0.36,1.9,0.64,22,14,8,0,4.32,0.47,5.16,0.52,0.81,0.4,0.78,0.2
Lose,Gian Villante,Maurice Greene,Heavyweight,SUB Arm Triangle,3,am,0.55,31,17,14,0,4.38,0.44,5.47,0.55,0.45,0.23,0.83,0,0.56,16,9,7,0,3.28,0.45,3.61,0.45,0,0,0.27,0.4
Lose,Kyle Daukaus,Brendan Allen,Middleweight,U-DEC,3,am,0.73,15,11,4,0,3.22,0.52,2.94,0.42,2.12,0.25,0.82,1.9,0.83,29,24,5,0,3.98,0.53,3.83,0.47,1.74,0.47,0.58,1.4
Lose,Jason Witt,Takashi Sato,Welterweight,KO/TKO Punches,1,am,0.68,28,19,9,0,2.15,0.44,2.54,0.52,6.9,0.48,1,0.9,0.7,23,16,7,0,2.21,0.41,3.73,0.44,0.76,0.37,0.6,0
Lose,Sean Woodson,Julian Erosa,Catch Weight,SUB D'Arce Choke,3,am,0.85,13,11,1,1,5.4,0.46,4,0.58,0.76,0.62,0.84,0.5,0.71,41,29,12,0,6.14,0.48,6.29,0.47,1.63,0.46,0.58,0.8
Lose,Luis Pena,Khama Worthy,Lightweight,SUB Guillotine Choke,3,am,0.75,12,9,3,0,3.66,0.46,3.12,0.51,1.17,0.33,0.48,1.2,0.64,25,16,9,0,4.18,0.48,4.45,0.46,0,0,0.57,0.7
Lose,Philipe Lins,Tanner Boser,Heavyweight,KO/TKO Punches,1,am,0.78,23,18,5,0,3.8,0.49,3.59,0.46,1.65,0.33,1,0,0.66,32,21,10,1,4.7,0.52,2.75,0.58,0,0,0.63,0
Lose,Jinh Yu Frey,Kay Hansen,Women's Strawweight,SUB Armbar,3,am,0.52,21,11,10,0,2.97,0.43,4.23,0.52,1.02,0.36,0.9,0.3,0.54,13,7,6,0,3.01,0.5,3.19,0.51,1.83,0.22,0.37,0.8
Lose,Jordan Griffin,Youssef Zalal,Featherweight,U-DEC,3,am,0.67,27,18,9,0,2.52,0.46,3.02,0.5,1.45,0.35,0.42,1.9,0.7,20,14,5,1,2.88,0.49,1.73,0.65,2.28,0.34,0.6,1.3
Lose,Alexander Volkov,Curtis Blaydes,Heavyweight,U-DEC,5,am,0.79,47,37,10,0,5.1,0.57,3,0.54,0.49,0.63,0.73,0.2,0.82,22,18,4,0,3.53,0.5,1.83,0.59,5.72,0.53,0.31,0
Lose,Shane Burgos,Josh Emmett,Featherweight,U-DEC,3,am,0.83,18,15,3,0,7.4,0.52,6.78,0.56,0.43,0.44,0.91,0.4,0.83,23,19,4,0,4.04,0.36,4.61,0.61,0.91,0.37,0.46,0.1
Lose,Marion Reneau,Raquel Pennington,Women's Bantamweight,U-DEC,3,am,0.5,18,9,8,1,3.2,0.41,3.52,0.59,0.62,0.63,0.5,0.8,0.64,25,16,9,0,4.14,0.52,3.29,0.6,0.9,0.27,0.63,0.7
Lose,Lyman Good,Belal Muhammad,Welterweight,U-DEC,3,am,0.78,27,21,6,0,5.34,0.48,4.01,0.63,0.27,1,0.75,0,0.88,26,23,3,0,4.55,0.43,3.64,0.57,1.98,0.35,0.93,0.2
Lose,Roosevelt Roberts,Jim Miller,Catch Weight,SUB Armbar,1,am,0.71,17,12,5,0,3.05,0.44,3.12,0.52,1.39,0.29,0.52,0.9,0.67,55,37,18,0,2.99,0.42,3.5,0.56,1.53,0.44,0.47,1.7
Lose,Clay Guida,Bobby Green,Lightweight,U-DEC,3,am,0.64,59,38,21,0,2.64,0.33,3.01,0.61,3.13,0.36,0.67,0.6,0.68,47,32,15,0,6.45,0.52,3.75,0.62,1.19,0.38,0.74,0.3
Lose,Brianna Fortino,Tecia Pennington,Women's Strawweight,U-DEC,3,am,0.75,12,9,3,0,3.53,0.41,3.23,0.57,2.5,0.45,0.66,0,0.68,19,13,6,0,4.74,0.48,3.59,0.61,0.66,0.14,0.61,0.1
Lose,Cortney Casey,Gillian Robertson,Women's Flyweight,SUB Rear Naked Choke,3,am,0.5,20,10,10,0,4.29,0.39,4,0.55,0.39,0.31,0.39,0.5,0.62,21,13,8,0,2.61,0.46,3.12,0.56,2.53,0.43,0.43,1
Lose,Frank Camacho,Justin Jaynes,Lightweight,KO/TKO Punches,1,am,0.69,32,22,10,0,6.56,0.46,7.44,0.51,1.11,0.31,0.73,0,0.67,24,16,8,0,3.34,0.44,5.33,0.62,0.75,0.4,0.2,1.1
Lose,Roxanne Modafferi,Lauren Murphy,Women's Flyweight,U-DEC,3,am,0.54,46,25,21,0,3.35,0.3,5.7,0.51,1.35,0.23,0.3,0.1,0.73,22,16,6,0,4.05,0.39,5.25,0.55,1.03,0.25,0.69,0.1
Lose,Max Rohskopf,Austin Hubbard,Lightweight,KO/TKO,2,am,0.83,6,5,1,0,1.7,0.31,5.8,0.42,3,0.33,0,1.5,0.7,23,16,7,0,3.83,0.46,3.37,0.56,1.55,0.52,0.63,0
Lose,Jessica Eye,Cynthia Calvillo,Women's Flyweight,U-DEC,5,am,0.58,26,15,11,0,3.86,0.37,4.19,0.55,0.58,0.4,0.57,0.5,0.56,16,9,6,1,4.41,0.38,4.12,0.64,1.8,0.44,0.77,0.8
Lose,Karl Roberson,Marvin Vettori,Middleweight,SUB Rear Naked Choke,1,am,0.6,15,9,6,0,2.57,0.51,2.42,0.57,0.72,0.4,0.42,0.5,0.7,27,19,7,1,4.56,0.45,4.24,0.56,1.66,0.45,0.69,0.5
Lose,Kevin Aguilar,Charles Rosa,Lightweight,S-DEC,3,am,0.77,22,17,5,0,3.96,0.4,4.81,0.52,0.16,0.16,0.78,0,0.64,22,14,8,0,3.08,0.36,3.86,0.47,1.67,0.35,0.38,1
Lose,Charles Jourdain,Andre Fili,Featherweight,S-DEC,3,am,0.65,23,15,7,1,5.56,0.48,4.31,0.57,0.09,0.1,0.48,0.6,0.68,34,23,11,0,3.85,0.37,4.11,0.51,2.16,0.47,0.69,0.3
Lose,Mark De La Rosa,Jordan Espinosa,Bantamweight,U-DEC,3,am,0.69,16,11,5,0,3.13,0.35,5,0.48,0.54,0.13,0.4,0.2,0.63,24,15,9,0,4.22,0.52,2.94,0.57,0.75,0.28,0.7,0.2
Lose,Hannah Cifers,Mariya Agapova,Women's Flyweight,SUB Rear Naked Choke,1,am,0.59,17,10,7,0,4.99,0.44,5.39,0.52,0.26,1,0.64,0.3,0.71,14,10,4,0,4.67,0.55,3.82,0.52,0.59,0.66,0.47,0.9
Lose,Gustavo Lopez,Merab Dvalishvili,Catch Weight,U-DEC,3,am,0.63,19,12,6,1,2.48,0.4,3.87,0.57,1.74,0.41,0.31,0.7,0.81,21,17,4,0,4.5,0.41,2.37,0.57,6.43,0.36,0.8,0.3
Lose,Gina Mazany,Julia Avila,Women's Bantamweight,KO/TKO Punches,1,am,0.54,13,7,6,0,3.73,0.5,3.52,0.5,4.34,0.52,0.33,0.2,0.75,12,9,3,0,2.59,0.43,2.86,0.5,0.54,0.33,0.5,0.3
Lose,Zarrukh Adashev,Tyson Nam,Bantamweight,KO/TKO Punch,1,am,0.5,8,4,4,0,3.65,0.4,3.04,0.64,0,0,1,0.5,0.58,36,21,14,1,3.87,0.33,4.97,0.65,0,0,0.87,0
Lose,Anthony Ivy,Christian Aguilera,Welterweight,KO/TKO Punches,1,am,0.67,12,8,4,0,2.5,0.42,4.57,0.51,4.69,0.2,1,0,0.64,22,14,8,0,2.54,0.37,4.04,0.48,0,0,0.6,0
Lose,Felicia Spencer,Amanda Nunes,Women's Featherweight,U-DEC,5,am,0.75,12,9,3,0,3.21,0.48,4.54,0.45,1.18,0.18,0.27,0.2,0.82,28,23,5,0,4.55,0.51,2.62,0.57,2.73,0.54,0.82,0.7
Lose,Raphael Assuncao,Cody Garbrandt,Bantamweight,KO/TKO Punch,2,am,0.74,38,28,10,0,3.22,0.42,2.5,0.66,1.65,0.39,0.78,0.2,0.7,20,14,6,0,2.98,0.4,3.76,0.6,1.03,0.34,0.8,0
Lose,Cory Sandhagen,Aljamain Sterling,Bantamweight,SUB Rear Naked Choke,1,am,0.81,21,17,4,0,5.33,0.44,3.4,0.58,1.36,0.33,0.64,0.3,0.86,28,24,4,0,4.61,0.52,2.3,0.58,2.31,0.27,0.45,0.7
Lose,Anthony Rocco Martin,Neil Magny,Welterweight,U-DEC,3,am,0.74,23,17,6,0,2.68,0.37,2.59,0.58,0.71,0.27,0.68,1,0.71,41,29,12,0,3.47,0.46,2.42,0.52,2.17,0.4,0.54,0.3
Lose,Eddie Wineland,Sean O'Malley,Bantamweight,KO/TKO Punch,1,am,0.59,41,24,16,1,3.4,0.29,3.76,0.68,0.34,0.33,0.86,0.1,0.95,19,18,1,0,7.63,0.61,3.52,0.62,0.35,0.42,0.62,0.3
Lose,Chase Hooper,Alex Caceres,Featherweight,U-DEC,3,am,0.76,17,13,3,1,4.86,0.51,3.59,0.36,1.42,0.22,0.55,2.2,0.6,35,21,14,0,4.16,0.5,2.93,0.63,0.56,0.68,0.64,0.7
Lose,Gerald Meerschaert,Ian Heinisch,Middleweight,KO/TKO Punch,1,am,0.68,53,36,17,0,3.18,0.45,3.37,0.53,2.17,0.38,0.34,1.6,0.74,19,14,5,0,3.25,0.5,2.98,0.59,1.02,0.17,0.59,0.7
Lose,Brian Kelleher,Cody Stamann,Featherweight,U-DEC,3,am,0.62,39,24,15,0,3.39,0.41,4.64,0.54,1.74,0.41,0.6,0.7,0.75,28,21,6,1,4.39,0.47,3.63,0.62,2.34,0.39,0.76,0
Lose,Charles Byrd,Maki Pitolo,Middleweight,KO/TKO Punches,2,am,0.59,17,10,7,0,3.43,0.55,2.63,0.55,2.5,0.5,0.4,1.5,0.59,22,13,9,0,4.1,0.44,3.93,0.55,2.24,0.52,0.5,0.8
Lose,Jussier Formiga,Alex Perez,Flyweight,KO/TKO Kick,1,am,0.74,31,23,8,0,1.42,0.39,2.34,0.64,1.82,0.35,0.87,0.6,0.75,32,24,8,0,4.12,0.46,3.14,0.59,2.26,0.44,0.82,1
Lose,Alonzo Menifield,Devin Clark,Light Heavyweight,U-DEC,3,am,0.79,19,15,3,1,3.92,0.57,3.51,0.49,0.67,0.33,0.75,0.3,0.61,23,14,9,0,3.03,0.54,3.24,0.44,2.17,0.32,0.58,0.1
Lose,Evan Dunham,Herbert Burns,Catch Weight,SUB Rear Naked Choke,1,am,0.64,28,18,9,1,5.33,0.39,3.54,0.61,1.82,0.33,0.79,1,0.69,16,11,5,0,1.73,0.4,4.6,0.41,3,0.42,0.66,2.5
Lose,Tyron Woodley,Gilbert Burns,Welterweight,U-DEC,5,am,0.7,27,19,7,1,2.36,0.48,2.76,0.54,1.06,0.4,0.87,0.4,0.76,29,22,7,0,3.29,0.48,3.42,0.54,2.24,0.38,0.5,0.5
Lose,Blagoy Ivanov,Augusto Sakai,Heavyweight,S-DEC,3,am,0.76,25,19,6,0,3.25,0.4,4.2,0.53,0.69,0.4,0.61,0.1,0.73,22,16,5,1,4.6,0.49,3.83,0.48,0.23,0.4,0.56,0
Lose,Spike Carlyle,Billy Quarantillo,Catch Weight,U-DEC,3,am,0.75,12,9,3,0,2.55,0.54,3.85,0.3,3.34,0.36,0.57,0.5,0.75,24,18,6,0,7.36,0.56,5.57,0.43,1.24,0.23,0.61,1.1
Lose,Brok Weaver,Roosevelt Roberts,Lightweight,SUB Rear Naked Choke,2,am,0.71,21,15,6,0,4.78,0.64,4.35,0.46,0.41,0.1,0.66,0.4,0.71,17,12,5,0,3.05,0.44,3.12,0.52,1.39,0.29,0.52,0.9
Lose,Hannah Cifers,Mackenzie Dern,Women's Strawweight,SUB Kneebar,1,am,0.59,17,10,7,0,4.99,0.44,5.39,0.52,0.26,1,0.64,0.3,0.72,18,13,5,0,3.31,0.4,4.09,0.51,0.79,0.15,0.28,1.3
Lose,Antonina Shevchenko,Katlyn Cerminara,Women's Flyweight,U-DEC,3,am,0.71,14,10,4,0,3.86,0.55,2.93,0.52,0.43,0.42,0.53,0.4,0.75,24,18,6,0,4.58,0.34,4.48,0.62,0.31,0.15,0.5,0.3
Lose,Gabe Green,Daniel Rodriguez,Welterweight,U-DEC,3,am,0.69,16,11,5,0,6.28,0.45,6.95,0.47,0.83,0.5,0.53,0.3,0.81,21,17,4,0,7.3,0.5,5.28,0.56,0.62,0.5,0.63,0.1
Lose,Tim Elliott,Brandon Royval,Flyweight,SUB Arm Triangle,2,am,0.6,35,21,13,1,3.39,0.44,2.66,0.56,3.73,0.47,0.59,1,0.7,23,16,7,0,4.33,0.36,3.42,0.46,0.47,0.6,0.4,1.1
Lose,Louis Smolka,Casey Kenney,Bantamweight,SUB Guillotine Choke,1,am,0.65,26,17,9,0,4.67,0.47,4.11,0.53,1.69,0.35,0.32,1.8,0.76,21,16,4,1,4.85,0.42,4.67,0.58,1.09,0.35,0.61,0.4
Lose,Vince Morales,Chris Gutierrez,Featherweight,KO/TKO Kick,2,am,0.61,18,11,7,0,4.17,0.37,4.24,0.53,0.14,0.25,0.64,0,0.71,28,20,6,2,4.8,0.58,2.79,0.63,0.28,0.3,0.69,0.1
Lose,Walt Harris,Alistair Overeem,Heavyweight,KO/TKO Punches,2,am,0.57,23,13,10,0,3.05,0.39,3.33,0.54,0.29,0.28,0.7,0.1,0.71,66,47,19,0,3.67,0.64,2.44,0.57,1.42,0.55,0.73,0.8
Lose,Angela Hill,Claudia Gadelha,Women's Strawweight,S-DEC,3,am,0.55,29,16,13,0,5.44,0.5,4.94,0.61,0.73,0.34,0.75,0.1,0.78,23,18,5,0,3.31,0.41,4.57,0.57,3.03,0.42,0.58,0.7
Lose,Edson Barboza,Dan Ige,Featherweight,S-DEC,3,am,0.69,35,24,11,0,4.18,0.45,4.34,0.57,0.48,0.5,0.75,0.1,0.72,25,18,7,0,3.76,0.45,3.52,0.57,1.06,0.26,0.58,0.3
Lose,Eryk Anders,Krzysztof Jotko,Middleweight,U-DEC,3,am,0.67,24,16,8,0,3.41,0.47,4.17,0.5,1.79,0.26,0.79,0.1,0.8,30,24,6,0,2.98,0.42,2.23,0.57,1.33,0.39,0.82,0.1
Lose,Marlon Vera,Song Yadong,Featherweight,U-DEC,3,am,0.7,33,23,9,1,4.31,0.49,5.48,0.5,0.53,0.39,0.7,0.9,0.72,29,21,8,0,4.49,0.43,3.96,0.55,0.66,0.4,0.72,0.2
Lose,Matt Brown,Miguel Baeza,Welterweight,KO/TKO Punch,2,am,0.58,45,26,19,0,3.76,0.55,2.92,0.55,1.68,0.46,0.63,1.3,0.77,13,10,3,0,4.88,0.49,5.1,0.53,0.44,0.28,1,1.8
Lose,Anthony Hernandez,Kevin Holland,Middleweight,KO/TKO Knees,1,am,0.86,14,12,2,0,4.3,0.59,3.46,0.45,6.62,0.49,0.63,3,0.69,36,25,11,0,4.24,0.49,3.19,0.5,0.85,0.38,0.54,0.6
Lose,Irwin Rivera,Giga Chikadze,Featherweight,U-DEC,3,am,0.63,16,10,6,0,3.36,0.44,5.07,0.57,1,0.16,0.7,0,0.83,18,15,3,0,4.08,0.43,3.44,0.62,0.23,0.33,0.69,0.2
Lose,Darren Elkins,Nate Landwehr,Featherweight,U-DEC,3,am,0.72,39,28,11,0,3.44,0.38,3.27,0.52,2.85,0.35,0.56,1.1,0.78,23,18,5,0,6.25,0.46,5.75,0.55,1,0.41,0.86,1
Lose,Mara Romero Borella,Cortney Casey,Women's Flyweight,SUB Armbar,1,am,0.57,21,12,9,0,2.54,0.37,2.48,0.71,1.83,0.44,0.66,0.2,0.5,20,10,10,0,4.29,0.39,4,0.55,0.39,0.31,0.39,0.5
Lose,Don'Tale Mayes,Rodrigo Nascimento,Heavyweight,SUB Rear Naked Choke,2,am,0.63,16,10,6,0,3.6,0.44,3.84,0.46,0.79,0.43,0.6,0,0.92,12,11,1,0,4.31,0.48,4.76,0.43,1.2,0.33,0.77,0.7
Lose,Anthony Smith,Glover Teixeira,Light Heavyweight,KO/TKO Punches,5,am,0.66,56,37,19,0,3.21,0.48,4.47,0.46,0.49,0.26,0.48,0.6,0.79,42,33,9,0,3.73,0.49,4.43,0.51,2.11,0.33,0.6,0.9
Lose,Ovince Saint Preux,Ben Rothwell,Heavyweight,S-DEC,3,am,0.61,44,27,17,0,3.03,0.47,3.32,0.47,1.1,0.36,0.67,0.5,0.74,53,39,14,0,3.71,0.42,4.63,0.47,0.68,0.34,0.7,0.4
Lose,Alexander Hernandez,Drew Dober,Lightweight,KO/TKO Punches,2,am,0.64,22,14,8,0,4.33,0.41,4.66,0.55,1.06,0.31,0.59,0.1,0.68,40,27,13,0,4.34,0.4,4.23,0.51,0.71,0.18,0.56,0.1
Lose,Ray Borg,Ricky Simon,Bantamweight,S-DEC,3,am,0.72,18,13,5,0,1.52,0.52,1.93,0.48,3.89,0.5,0.46,1,0.8,25,20,5,0,3.01,0.43,3.61,0.61,5.49,0.46,0.76,0.4
Lose,Philipe Lins,Andrei Arlovski,Heavyweight,U-DEC,3,am,0.78,23,18,5,0,3.8,0.49,3.59,0.46,1.65,0.33,1,0,0.6,57,34,23,0,3.78,0.45,3.2,0.57,0.38,0.36,0.76,0.2
Lose,Michael Johnson,Thiago Moises,Lightweight,SUB Ankle Lock,2,am,0.55,42,23,19,0,4.27,0.39,3.83,0.57,0.62,0.41,0.81,0,0.72,25,18,7,0,2.47,0.4,4.19,0.55,1.64,0.44,0.56,1.3
Lose,Sarah Moras,Sijara Eubanks,Women's Bantamweight,U-DEC,3,am,0.43,14,6,8,0,2.28,0.34,3.58,0.5,0.67,0.21,0.33,0.8,0.53,15,8,7,0,4.3,0.43,3.43,0.57,1.9,0.44,0.66,0.3
Lose,Gabriel Benitez,Omar Morales,Lightweight,U-DEC,3,am,0.66,35,23,12,0,4.92,0.41,4.26,0.62,0.24,0.5,0.55,1,0.73,15,11,4,0,3.42,0.4,3.18,0.58,0.46,1,0.63,0
Lose,Hunter Azure,Brian Kelleher,Featherweight,KO/TKO Punch,2,am,0.82,11,9,2,0,3.92,0.53,2.08,0.58,1.97,0.34,0.67,1.3,0.62,39,24,15,0,3.39,0.41,4.64,0.54,1.74,0.41,0.6,0.7
